Confirmed,Date,Type,Label,Address,Amount (DASH),ID
TRUE,2015-02-25T08:51:49,Received with,,Xu9eU66C5UUBAwfUyWffBu8jeGBkJC3ngm,63.81092223,e3e0d47a00b39abec1c864f6cdf5fa2f56355828872d8532233cdfdc8e967341-000
TRUE,2015-02-22T10:22:28,Sent to,,Xvtxqi42PvaxfdpeF9yDbqczA6aF3n8eyR,-398.01,c930e1359df1ab1b48ec20cc66da5b45235138af0edc8e0edd9dd1d425710a29-000
TRUE,2015-02-21T09:26:40,Received with,givemethosedarkcoins,XiuZhouoo5v1RBHPm8rDzcP6dJsN5vLqvt,164.2531984,25502cc7d9eb5e5c29163c081bbd2b9d54d1e460233ea9bd5de4d2a01df5a91d-000
TRUE,2015-02-21T09:03:04,Received with,,XqebTLoVKUDr9sn7fpUCMqUFGq7LHDsims,82.12509917,42508aa9256d3422df5b585bce19db6ecd56560c6edb96b2799e651c7ef7ba68-000
TRUE,2015-02-20T19:57:36,Darksend Denominate,,,0,4ee17d702b3b2eb47f11307f4456db094777e798b5506e5357bc0cc203e5618c-000
TRUE,2015-02-20T19:59:20,Sent to,,Xxa49xpxFN91CtCVGdrmZQPP3zyBRRZxqM,-50.01,2f2f523f9215dd2a4f4c095b0fc91bc5d7a9d1cd778363bc0c369cc107d3e1b6-000
TRUE,2015-02-20T07:20:18,Darksend Create Denominations,,,0,de6471def80987b4f7e09e4f08a9b266349d0d3d0527c84bc6aee88cd42d8124-000
TRUE,2015-02-19T11:45:01,Received with,iwannashapeshifttoday,XewyBBaowMgtvdSJyCkWfPfguFA3B8F99s,82.0893913,29d37cff86e6a49e418eb0741116a815301ab99d2bc8d3ef5bb97be448dfe0e5-000
TRUE,2015-02-19T06:55:40,Received with,Shapeshiftallday,XtoHGBAUy1fXo4N9uzbgxWitzYqscbtXx4,3.54288782,bee37c1581203a155ca3983824bb4cb9f35d6eefedbc0eb8cad5894b3f1632cf-000
TRUE,2015-02-18T15:14:53,Received with,Shapeshiftallday,XtoHGBAUy1fXo4N9uzbgxWitzYqscbtXx4,82.12509917,16340ebf555c89117ac7e6c8ef6a79741fdb151fdd96e9c10aad87cc4c96a091-000
TRUE,2015-02-18T15:05:44,Received with,,XqGZUR88qrHUTvRr3YmNK8oivtSihrjNUF,27.32740253,f46fd08b6d152011a8a0f2dab968ac45d6006c1e91ffe87c55f7591860363373-000
TRUE,2015-02-18T15:01:48,Received with,,Xi7k1kQpRMEzGM789jUZFTdVqvBTM7vbdi,7.01677248,494286207a70a01158c6b8577f7a17d68c861710ece4afd0ed3d6a669f50e923-000
TRUE,2015-02-16T19:49:35,Received with,Shifting 3,XwC4PMmAPNPGcwHXnv9NurDQaUbNxYEnwa,35.67233141,7ad54da430f3c6faa6e5e502d3b94196fb81c84a4c9cee2b7e2d95aafd488702-000
TRUE,2015-02-16T07:08:50,Sent to,,XkqzyNSouhREtG6C2AxtqHbQhXqDWrxzCc,-55.83316151,458592df86bbff888e44b6c440b800173ded1451a23b07f8e87c90763fbf6408-000
TRUE,2015-02-12T06:58:09,Received with,Shifting 2,XmdzBDHy7UXyaMzCzDqor7FcGunTBspFiQ,55.43067347,d40e12baa4f7d27ed0c6631df36f06b0df341995a45d9d7a34f5441d25de631c-000
TRUE,2015-02-11T08:56:54,Sent to,,XmcN3v6mZHH3mWxQZSWpMagFoTAFgQ1P3u,-63,a85bf58ac8a3071657cc2040b0742f826d61342672fb4d3ee20709a1f73fe5f6-000
TRUE,2015-02-11T08:35:33,Received with,Claptrap,XgLeoWErwGLAXeoUhRu3sZz9etax8H1tyb,52.73978743,303f4f9f36b1ddf209996e14f7dffd5c9843fda846ab7a8e84e74e8e1d0c2de8-000
TRUE,2015-02-04T12:29:17,Received with,Claptrap,XgLeoWErwGLAXeoUhRu3sZz9etax8H1tyb,10.66270061,67d53eecd9c426f136be8db4829fa6d8e75fa96f01c69c6d90c2bc4d7b204f36-000
